geneID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
ENSG00000144580	RQCD1	1231.547	-1.83978291972666	9.61454523163891e-66	1.50275341970516e-61	33.794	117.393	ASO_G0272888_AD_07	AC013394.2	-10.371
ENSG00000272888	AC013394.2	453.393	-2.9718584980618	2.32284331258805e-25	1.81530204878756e-21	5.734	44.091	ASO_G0272888_AD_07	AC013394.2	-11.923
ENSG00000129636	ITFG1	1601.971	-1.38027981697771	3.89678632499832e-21	2.03022567532413e-17	59.244	150.878	ASO_G0272888_AD_07	AC013394.2	-5.048
ENSG00000197321	SVIL	455.462	-1.1900651700024	5.55660488260795e-20	2.17124335787905e-16	19.07	42.677	ASO_G0272888_AD_07	AC013394.2	-3.629
ENSG00000164171	ITGA2	1001.251	0.729287207873048	9.10600642173348e-10	2.37211467286157e-06	139.435	81.783	ASO_G0272888_AD_07	AC013394.2	2.473
ENSG00000183023	SLC8A1	188.387	-0.773474977475696	8.9335766288167e-10	2.37211467286157e-06	10.5	17.329	ASO_G0272888_AD_07	AC013394.2	-1.158
ENSG00000113269	RNF130	329.888	-1.09965477709569	2.10135151843505e-09	4.6920177475914e-06	14.577	30.83	ASO_G0272888_AD_07	AC013394.2	-4.987
ENSG00000116478	HDAC1	1154.266	-0.444386449601812	2.70123290294742e-09	5.27753378413353e-06	78.607	104.349	ASO_G0272888_AD_07	AC013394.2	-3.195
ENSG00000099991	CABIN1	745.363	-0.528756039700606	1.03470881199436e-08	1.79694430349687e-05	48.195	67.766	ASO_G0272888_AD_07	AC013394.2	-2.347
ENSG00000170962	PDGFD	157.288	-0.821682529716524	9.0885763405744e-08	0.000142054448203178	8.371	14.516	ASO_G0272888_AD_07	AC013394.2	-1.275
ENSG00000100100	PIK3IP1	141.29	0.742281590777374	1.07297191301918e-07	0.000152459554549908	19.826	11.551	ASO_G0272888_AD_07	AC013394.2	1.993
ENSG00000026103	FAS	379.172	0.69401068466541	2.55332055368475e-07	0.000306987694262251	51.898	31.135	ASO_G0272888_AD_07	AC013394.2	2.455
ENSG00000072041	SLC6A15	53.008	1.05472483257126	2.44567920951971e-07	0.000306987694262251	8.854	4.152	ASO_G0272888_AD_07	AC013394.2	2.126
ENSG00000196305	IARS	1527.234	-0.424070691977757	3.14617226376165e-07	0.000351247660589961	105.824	137.889	ASO_G0272888_AD_07	AC013394.2	-2.623
ENSG00000168621	GDNF	74.793	0.923666697821802	5.29175827001285e-07	0.000551401211735339	11.589	5.963	ASO_G0272888_AD_07	AC013394.2	1.58
ENSG00000176658	MYO1D	283.8	-0.708259116909236	1.02131384478872e-06	0.000997695962127984	16.223	26.062	ASO_G0272888_AD_07	AC013394.2	-1.664
ENSG00000119326	CTNNAL1	1005.275	-0.660647402747694	1.11835942068117e-06	0.00102823280854393	59.472	91.935	ASO_G0272888_AD_07	AC013394.2	-1.927
ENSG00000139613	SMARCC2	985.654	-0.367760864308824	1.41903621125936e-06	0.00123219644344355	70.618	88.698	ASO_G0272888_AD_07	AC013394.2	-2.139
ENSG00000062822	POLD1	280.678	-0.861727124347779	2.33301052246732e-06	0.00191920812979812	14.442	25.931	ASO_G0272888_AD_07	AC013394.2	-2.03
ENSG00000071242	RPS6KA2	220.922	-0.840481517182789	2.60996431744977e-06	0.00198703698919755	11.602	20.435	ASO_G0272888_AD_07	AC013394.2	-1.916
ENSG00000203879	GDI1	1103.669	-0.433474179513184	2.66972340199287e-06	0.00198703698919755	75.517	99.757	ASO_G0272888_AD_07	AC013394.2	-3.085
ENSG00000198825	INPP5F	266.913	-0.512985287650248	3.44800182048205e-06	0.00244964856609702	17.332	24.261	ASO_G0272888_AD_07	AC013394.2	-2.685
ENSG00000129625	REEP5	1459.962	0.363223424288304	3.76945022509322e-06	0.00248567985130692	164.108	124.109	ASO_G0272888_AD_07	AC013394.2	2.38
ENSG00000168273	SMIM4	626.024	0.436289859905032	3.81678288108548e-06	0.00248567985130692	73.632	52.826	ASO_G0272888_AD_07	AC013394.2	2.121
ENSG00000140105	WARS	1618.8	-0.40165256232629	4.04831549077693e-06	0.00253100684483374	113.679	145.981	ASO_G0272888_AD_07	AC013394.2	-2.043
ENSG00000078124	ACER3	182.755	-0.788719212596054	4.44836761754854e-06	0.00261099125859937	9.831	16.859	ASO_G0272888_AD_07	AC013394.2	-3.849
ENSG00000187688	TRPV2	1157.529	0.442729585974454	4.51034958299316e-06	0.00261099125859937	136.365	97.579	ASO_G0272888_AD_07	AC013394.2	2.436
ENSG00000091009	RBM27	587.02	-0.549051343064229	5.81811664479596e-06	0.00324775582707717	37.529	53.329	ASO_G0272888_AD_07	AC013394.2	-3.787
ENSG00000132669	RIN2	427.693	0.402403376627886	6.2431102447765e-06	0.00336482114227092	49.136	36.263	ASO_G0272888_AD_07	AC013394.2	1.688
ENSG00000225733	FGD5-AS1	821.537	-0.531043487504156	7.61075955126619e-06	0.00396520572620969	52.738	74.699	ASO_G0272888_AD_07	AC013394.2	-1.694
CATG00000063194	CATG00000063194.1	110.822	0.587563439503151	8.86193382437547e-06	0.0044681298604835	14.287	9.215	ASO_G0272888_AD_07	AC013394.2	2.549
ENSG00000066322	ELOVL1	1331.88	0.459918130174502	9.68510940309813e-06	0.00466234652616856	158.6	112.141	ASO_G0272888_AD_07	AC013394.2	2.838
ENSG00000149136	SSRP1	1099.391	-0.689136681538716	9.84372587098929e-06	0.00466234652616856	63.922	100.656	ASO_G0272888_AD_07	AC013394.2	-3.941
ENSG00000198682	PAPSS2	834.145	-0.608697175252421	1.3683615376368e-05	0.00629043848037153	51.367	76.102	ASO_G0272888_AD_07	AC013394.2	-3.351
ENSG00000173575	CHD2	704.508	0.641643294804005	1.65730499680605e-05	0.00700099381083204	93.403	58.34	ASO_G0272888_AD_07	AC013394.2	3.89
ENSG00000189134	NKAPL	38.388	0.912663917403141	1.5760280596874e-05	0.00700099381083204	6.012	3.061	ASO_G0272888_AD_07	AC013394.2	2.709
ENSG00000219481	NBPF1	602.713	-0.639928748397685	1.62626483591187e-05	0.00700099381083204	36.088	55.136	ASO_G0272888_AD_07	AC013394.2	-3.188
ENSG00000187735	TCEA1	1399.742	-0.339685056563541	1.71129646265367e-05	0.00703883255559919	102.027	125.694	ASO_G0272888_AD_07	AC013394.2	-1.53
ENSG00000164327	RICTOR	197.185	-0.692910195507328	1.85256860455808e-05	0.00742452494595967	11.589	18.065	ASO_G0272888_AD_07	AC013394.2	-1.838
ENSG00000102241	HTATSF1	392.552	-0.595136503106678	1.92359695370955e-05	0.00751645509662007	24.163	35.832	ASO_G0272888_AD_07	AC013394.2	-4.015
ENSG00000173535	TNFRSF10C	80.657	0.983474546342407	2.2887663804633e-05	0.00872522403088816	12.99	6.354	ASO_G0272888_AD_07	AC013394.2	0.787
ENSG00000108219	TSPAN14	439.239	0.326303810043727	2.52047840223515e-05	0.00937978033974654	48.377	37.481	ASO_G0272888_AD_07	AC013394.2	1.673
ENSG00000004478	FKBP4	527.799	-0.631355437101555	2.59195602997467e-05	0.00942145877872188	31.712	48.249	ASO_G0272888_AD_07	AC013394.2	-2.949
ENSG00000156535	CD109	2710.624	0.402854271578327	2.70167846592561e-05	0.00959709873236758	312.097	229.586	ASO_G0272888_AD_07	AC013394.2	2.232
ENSG00000086827	ZW10	260.563	-0.571679184895431	2.80597990038304e-05	0.00974610352066377	16.564	23.7	ASO_G0272888_AD_07	AC013394.2	-3.498
ENSG00000208024	MIR199A2	70.683	0.687046859040083	3.03707016331247e-05	0.0103194362288204	9.693	5.797	ASO_G0272888_AD_07	AC013394.2	2.741
ENSG00000245694	CRNDE	315.392	-0.740368644745716	3.1818220135094e-05	0.0105812506534366	17.674	29.022	ASO_G0272888_AD_07	AC013394.2	-3.084
ENSG00000144218	AFF3	103.222	-0.734407714238934	3.3164900014369e-05	0.0107993205671789	5.901	9.49	ASO_G0272888_AD_07	AC013394.2	-1.271
ENSG00000018408	WWTR1	1363.555	0.377557234142318	3.6728328661496e-05	0.0113097816011739	154.647	115.892	ASO_G0272888_AD_07	AC013394.2	1.885
ENSG00000088882	CPXM1	103.671	-0.815516306034332	3.69033180844445e-05	0.0113097816011739	5.483	9.577	ASO_G0272888_AD_07	AC013394.2	-2.268
ENSG00000120451	SNX19	664.928	-0.500794738710623	3.69024318479883e-05	0.0113097816011739	43.679	60.342	ASO_G0272888_AD_07	AC013394.2	-2.523
ENSG00000103994	ZNF106	317.204	0.357690987121033	4.22039763307554e-05	0.0124461915103718	35.583	27.004	ASO_G0272888_AD_07	AC013394.2	1.435
ENSG00000163017	ACTG2	168.653	0.552375164252511	4.17960297980093e-05	0.0124461915103718	21.147	14.057	ASO_G0272888_AD_07	AC013394.2	2.141
ENSG00000187840	EIF4EBP1	2828.281	-0.46354018998875	4.45183219075144e-05	0.0128855809521194	190.258	256.013	ASO_G0272888_AD_07	AC013394.2	-2.096
ENSG00000091436	MLTK	1360.416	-0.413252398383034	4.77956945253676e-05	0.0129950423673644	94.504	122.793	ASO_G0272888_AD_07	AC013394.2	-1.956
ENSG00000129691	ASH2L	461.458	-0.6469714503016	4.69159232522426e-05	0.0129950423673644	27.425	42.189	ASO_G0272888_AD_07	AC013394.2	-4.253
ENSG00000156469	MTERFD1	373.373	-0.593064197184275	4.90535828326617e-05	0.0129950423673644	23	34.03	ASO_G0272888_AD_07	AC013394.2	-2.49
ENSG00000168887	C2orf68	442.554	-0.75036011958104	4.59345406432211e-05	0.0129950423673644	24.588	40.708	ASO_G0272888_AD_07	AC013394.2	-3.225
ENSG00000184575	XPOT	1765.362	-0.527087456598541	4.89363194528969e-05	0.0129950423673644	114.158	160.41	ASO_G0272888_AD_07	AC013394.2	-2.533
ENSG00000206538	VGLL3	1425.191	-0.552113694278619	5.09991656625001e-05	0.0132852826550813	90.498	129.712	ASO_G0272888_AD_07	AC013394.2	-2.052
ENSG00000272121	RP4-555D20.4	68.777	0.64961399845607	6.021946718728e-05	0.0154300044612653	9.123	5.682	ASO_G0272888_AD_07	AC013394.2	1.759
ENSG00000135679	MDM2	1381.645	0.359790205465109	6.74851827022114e-05	0.0167427524704058	154.983	117.57	ASO_G0272888_AD_07	AC013394.2	0.967
ENSG00000204291	COL15A1	138.859	-0.645859188749089	6.68097238364515e-05	0.0167427524704058	8.353	12.696	ASO_G0272888_AD_07	AC013394.2	-0.914
