




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2082)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	22	12	2.22	+	5.40	2.79E-05	2.57E-03
calcium-dependent protein kinase activity (GO:0010857)	23	12	2.33	+	5.16	3.89E-05	3.40E-03
mitogen-activated protein kinase binding (GO:0051019)	27	11	2.73	+	4.03	4.42E-04	3.01E-02
disordered domain specific binding (GO:0097718)	36	13	3.64	+	3.57	3.55E-04	2.52E-02
nucleosomal DNA binding (GO:0031492)	39	14	3.94	+	3.55	2.24E-04	1.68E-02
RNA polymerase binding (GO:0070063)	61	18	6.17	+	2.92	2.36E-04	1.75E-02
protein kinase A binding (GO:0051018)	51	15	5.16	+	2.91	7.81E-04	4.67E-02
nucleosome binding (GO:0031491)	75	22	7.58	+	2.90	5.42E-05	4.58E-03
SMAD binding (GO:0046332)	78	20	7.89	+	2.54	5.94E-04	3.78E-02
transcription coregulator binding (GO:0001221)	113	28	11.42	+	2.45	9.20E-05	7.51E-03
protein threonine phosphatase activity (GO:0106307)	81	20	8.19	+	2.44	8.31E-04	4.91E-02
histone deacetylase binding (GO:0042826)	122	27	12.33	+	2.19	5.37E-04	3.56E-02
transcription corepressor activity (GO:0003714)	192	42	19.41	+	2.16	3.01E-05	2.73E-03
GTPase binding (GO:0051020)	299	61	30.23	+	2.02	3.07E-06	3.13E-04
cadherin binding (GO:0045296)	324	65	32.75	+	1.98	2.05E-06	2.23E-04
DNA-binding transcription factor binding (GO:0140297)	482	96	48.73	+	1.97	1.27E-08	1.89E-06
transcription coactivator activity (GO:0003713)	281	55	28.41	+	1.94	2.32E-05	2.19E-03
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	355	69	35.89	+	1.92	2.49E-06	2.65E-04
transcription coregulator activity (GO:0003712)	512	99	51.76	+	1.91	2.17E-08	3.03E-06
chromatin binding (GO:0003682)	592	113	59.85	+	1.89	3.89E-09	6.14E-07
