name1	name2	len1	len2	gc1	gc2	numSites	sumEnergy	Pvalue	Padj	00Annotation	short_description	gene_id	log2fc
ENSMUST00000184554.8	chr14_119337147_119337214_+	782	1067	46.419	62.605	17	-111.3	0.00014099999999999998	0.0009460000000000001	chr14_119337147_119337214_+	p1@Dnajc3	100037258	0.552288937143275
ENSMUST00000184554.8	chr4_131864583_131864603_+	782	1020	46.419	50.391999999999996	4	-30.8	0.0348	0.0577	chr4_131864583_131864603_+	p1@Snhg12	100039864	-0.52408852056318
ENSMUST00000184554.8	chr7_134655605_134655616_+	782	1011	46.419	71.118	14	-84.48	0.00624	0.015	chr7_134655605_134655616_+	p2@Srcap	100043597	-0.582067633832915
ENSMUST00000184554.8	chr7_28799142_28799202_-	782	1060	46.419	50.66	1	0.0	1.0	1.0	chr7_28799142_28799202_-	p1@Gm4636	100043772	0.941153363364878
ENSMUST00000184554.8	chr4_151235871_151235882_-	782	1011	46.419	76.855	27	-180.4974	2.3800000000000003e-05	0.000276	chr4_151235871_151235882_-	p7@Camta1	100072	0.68888214325566
ENSMUST00000184554.8	chrX_154006915_154006923_-	782	1008	46.419	49.107	2	-22.84	0.0703	0.10099999999999999	chrX_154006915_154006923_-	p1@Yy2	100073351	0.817161912935874
ENSMUST00000184554.8	chr4_151648199_151648272_+	782	1073	46.419	67.94	15	-87.73	0.00351	0.009729999999999999	chr4_151648199_151648272_+	p1@Gpr153	100129	-0.553581557061649
ENSMUST00000184554.8	chr4_63071779_63071791_-	782	1012	46.419	60.573	11	-90.09	0.000462	0.0022	chr4_63071779_63071791_-	p3@Akna	100182	-0.57629411903574
ENSMUST00000184554.8	chr4_149383086_149383195_-	782	1109	46.419	63.12	18	-142.82	1.21e-05	0.000176	chr4_149383086_149383195_-	p1@H6pd	100198	-0.573786647182108
ENSMUST00000184554.8	chr4_15192945_15192956_+	782	1011	46.419	70.623	24	-153.8024	2.58e-05	0.00029	chr4_15192945_15192956_+	p2@Tmem64	100201	0.572557111195788
ENSMUST00000184554.8	chr13_67710571_67710601_-	782	1030	46.419	47.67	1	0.0	1.0	1.0	chr13_67710571_67710601_-	p1@AA987161	100416706	0.888689550488821
