prmtrID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
chr2_218568740_218568876_+	p004@RQCD1	1030.286	-1.83054523920019	1.48728422192933e-54	4.08125663339627e-50	29.896	103.184	ASO_G0272888_AD_07	AC013394.2	-9.704
chr22_24011323_24011377_+	p002@CABIN1	126.671	-2.14908035851857	3.41129361661433e-23	4.68046540667569e-19	2.822	12.817	ASO_G0272888_AD_07	AC013394.2	-6.27
chr16_47460906_47461130_-	p006@ITFG1	1438.317	-1.40586571678755	2.58192812076992e-19	2.36168965206824e-15	55.023	142.506	ASO_G0272888_AD_07	AC013394.2	-4.888
chr15_92882573_92882776_+	p001@AC013394.2	88.569	-4.09565434595636	3.54080294318517e-19	2.42907933909861e-15	0.583	9.14	ASO_G0272888_AD_07	AC013394.2	-12.309
chr2_218568490_218568739_+	p003@RQCD1	102.747	-2.15036897327553	5.48975040295318e-19	3.01288481614876e-15	2.396	10.379	ASO_G0272888_AD_07	AC013394.2	-9.19
chr15_92882777_92882845_+	p002@AC013394.2	346.25	-2.88535996604281	2.2174567364166e-17	1.01415383840013e-13	4.872	35.369	ASO_G0272888_AD_07	AC013394.2	-10.28
chr22_24011378_24011563_+	p003@CABIN1	259.659	-1.03520158153226	4.2070732742369e-15	1.64923282454764e-11	12.814	25.431	ASO_G0272888_AD_07	AC013394.2	-2.878
chr10_29736969_29737076_-	p002@SVIL	146.121	-1.80763413157487	8.87605081503342e-15	3.04459638019165e-11	4.202	14.681	ASO_G0272888_AD_07	AC013394.2	-4.222
chr10_33334392_33334604_-	p012@NRP1	555.551	0.72869696783908	9.49168513112357e-13	2.89401479647958e-09	81.518	47.754	ASO_G0272888_AD_07	AC013394.2	2.842
chr2_237414272_237414456_-	p003@COL6A3	463.771	-0.734744385858204	2.11451054338392e-11	5.80242838209983e-08	27.599	44.793	ASO_G0272888_AD_07	AC013394.2	-2.554
